iter	Logloss
0	0.6792477734
1	0.6648102674
2	0.6525886677
3	0.6420215657
4	0.6352228305
5	0.6283160063
6	0.6224404858
7	0.6156447224
8	0.6103338254
9	0.6065443145
10	0.6021752467
11	0.5975369998
12	0.5929152215
13	0.5887116829
14	0.5857251454
15	0.5818148088
16	0.5787266392
17	0.5758875609
18	0.5735367533
19	0.571351541
20	0.5688345017
21	0.5664416377
22	0.5639060643
23	0.561884311
24	0.5599304659
25	0.558138558
26	0.5558667622
27	0.5536905174
28	0.5517690322
29	0.5506391329
30	0.5482661546
31	0.54647038
32	0.5452863704
33	0.5436081915
34	0.5428898355
35	0.5419321193
36	0.5395121277
37	0.5382394233
38	0.5367206552
39	0.5346396178
40	0.5341891568
41	0.5323283911
42	0.5317123406
43	0.5305498564
44	0.5296138752
45	0.5281305498
46	0.5269299942
47	0.5257842652
48	0.5241226513
49	0.5226407469
50	0.522090343
51	0.5212178561
52	0.5195379116
53	0.5184032713
54	0.5172934835
55	0.5161773735
56	0.515084231
57	0.5142296285
58	0.5132785904
59	0.5117380092
60	0.5110423896
61	0.5101990131
62	0.5093018062
63	0.5075838242
64	0.5067680096
65	0.5060699089
66	0.5055521616
67	0.5051408491
68	0.5037076081
69	0.5028393372
70	0.5026570123
71	0.5016731318
72	0.5001958592
73	0.4999455341
74	0.49879948
75	0.4984043472
76	0.4983373394
77	0.4977718919
78	0.4966158751
79	0.4960347234
80	0.4953796987
81	0.4946730859
82	0.4938628976
83	0.4933887474
84	0.4923248381
85	0.4899069402
86	0.4893696388
87	0.4884482604
88	0.4875217379
89	0.4861312511
90	0.4849211312
91	0.4832747333
92	0.4822108053
93	0.4819187197
94	0.4800774134
95	0.4787958152
96	0.4781307287
97	0.4778615137
98	0.4770330099
99	0.4767641219
100	0.4761881116
101	0.4752559512
102	0.4744638801
103	0.4735726084
104	0.4729360376
105	0.4728321183
106	0.4718670653
107	0.4709175556
108	0.4698853277
109	0.4691021618
110	0.4677363854
111	0.4667815017
112	0.4656967296
113	0.4655346825
114	0.4647879608
115	0.4632089252
116	0.4624768474
117	0.4611594785
118	0.4603627066
119	0.4589555192
120	0.458318202
121	0.4576694113
122	0.4569753119
123	0.456881771
124	0.4563214202
125	0.4553277421
126	0.4542629882
127	0.4535172263
128	0.4522371266
129	0.4511555091
130	0.4506629532
131	0.4496822719
132	0.449350735
133	0.4478216917
134	0.4470178861
135	0.4464334556
136	0.4463169262
137	0.4460050134
138	0.4451348882
139	0.4448058399
140	0.4441636364
141	0.4435146161
142	0.4424681101
143	0.4417345548
144	0.4413917495
145	0.44109969
146	0.4406858239
147	0.4402525208
148	0.4390933562
149	0.4380604473
150	0.437043652
151	0.4363754053
152	0.4358046484
153	0.4352601475
154	0.4340996469
155	0.4339724255
156	0.4333910885
157	0.4330357723
158	0.4324461096
159	0.4310826353
160	0.4304688965
161	0.4304254866
162	0.4293003696
163	0.4283701718
164	0.4278486613
165	0.4273204087
166	0.426188698
167	0.4252021789
168	0.4248038392
169	0.4243638056
170	0.4242367232
171	0.4227627459
172	0.4224097541
173	0.4219805918
174	0.4214003268
175	0.420777566
176	0.4198286049
177	0.4193278943
178	0.4184323516
179	0.4175075222
180	0.4173560242
181	0.4172666329
182	0.4170110993
183	0.4157402072
184	0.4154169252
185	0.4148022428
186	0.4142569583
187	0.4142197773
188	0.4140317117
189	0.4138256253
190	0.4131738246
191	0.4127752966
192	0.4125105797
193	0.4122052977
194	0.4117026662
195	0.411435655
196	0.4112020304
197	0.410920792
198	0.4099561934
199	0.4089531616
200	0.4084820609
201	0.4076734268
202	0.4073362309
203	0.406605318
204	0.4056017716
205	0.405421934
206	0.4051468118
207	0.4045750466
208	0.4041891165
209	0.4033053122
210	0.4029119359
211	0.4027743188
212	0.4020032691
213	0.4008761301
214	0.400604033
215	0.3999349809
216	0.3992618793
217	0.3990880343
218	0.3985176344
219	0.3983591607
220	0.3979712601
221	0.3976458478
222	0.3971022048
223	0.3970177401
224	0.3969457377
225	0.3955114637
226	0.3948222532
227	0.3946826869
228	0.3945723481
229	0.394436722
230	0.3941358024
231	0.3940254003
232	0.393815679
233	0.3936271016
234	0.3935235019
235	0.392947874
236	0.3928924336
237	0.3924745537
238	0.3921364371
239	0.3920726062
240	0.391886754
241	0.3915580414
242	0.3912528563
243	0.3905288021
244	0.3902323933
245	0.3902064517
246	0.3901672834
247	0.3892029028
248	0.3885537427
249	0.3884005588
250	0.3882388147
251	0.3878355624
252	0.3877921736
253	0.3864162325
254	0.3863354652
255	0.3861977723
256	0.3859431213
257	0.3850872314
258	0.3850455448
259	0.3847314288
260	0.3839928493
261	0.3833125189
262	0.3825990468
263	0.3825577591
264	0.3822884986
265	0.3816943441
266	0.3815461562
267	0.3810715226
268	0.3805616866
269	0.3804486567
270	0.3803672232
271	0.3794357244
272	0.3787168798
273	0.378451981
274	0.3780889494
275	0.3773834151
276	0.3772561511
277	0.3771975308
278	0.3770055761
279	0.3768689519
280	0.376274918
281	0.376051284
282	0.3757695531
283	0.375471025
284	0.3751881061
285	0.3749208039
286	0.3747849453
287	0.3747337485
288	0.3738735786
289	0.3737654596
290	0.3737351543
291	0.3733200082
292	0.3730442298
293	0.3727929354
294	0.3726002053
295	0.371688887
296	0.371579696
297	0.3708048739
298	0.3702735362
299	0.3701639074
