iter	Passed	Remaining
0	49	14669
1	97	14584
2	150	14869
3	193	14335
4	237	14009
5	288	14124
6	330	13816
7	371	13577
8	414	13398
9	438	12716
10	480	12616
11	528	12689
12	572	12631
13	616	12597
14	663	12602
15	707	12551
16	764	12726
17	807	12643
18	868	12843
19	910	12749
20	953	12661
21	1004	12696
22	1046	12607
23	1091	12555
24	1134	12476
25	1178	12424
26	1238	12517
27	1281	12451
28	1325	12386
29	1354	12187
30	1400	12152
31	1440	12068
32	1488	12042
33	1534	12003
34	1581	11971
35	1626	11925
36	1680	11943
37	1724	11891
38	1766	11820
39	1808	11755
40	1853	11706
41	1920	11796
42	1945	11625
43	1994	11604
44	2060	11674
45	2136	11795
46	2208	11885
47	2272	11932
48	2338	11979
49	2411	12059
50	2476	12091
51	2542	12124
52	2611	12172
53	2676	12191
54	2738	12200
55	2807	12234
56	2873	12249
57	2965	12373
58	3028	12369
59	3088	12355
60	3129	12263
61	3173	12181
62	3215	12096
63	3267	12049
64	3313	11978
65	3355	11897
66	3396	11812
67	3438	11730
68	3495	11702
69	3539	11628
70	3563	11493
71	3619	11462
72	3675	11429
73	3746	11443
74	3806	11418
75	3836	11307
76	3878	11232
77	3920	11157
78	3984	11147
79	4030	11084
80	4059	10976
81	4101	10904
82	4151	10853
83	4175	10735
84	4224	10686
85	4265	10615
86	4307	10545
87	4354	10490
88	4406	10446
89	4487	10471
90	4556	10464
91	4623	10453
92	4684	10427
93	4736	10379
94	4804	10367
95	4868	10346
96	4928	10314
97	5002	10312
98	5078	10310
99	5139	10279
100	5203	10252
101	5278	10246
102	5343	10220
103	5407	10190
104	5471	10161
105	5545	10150
106	5612	10123
107	5680	10098
108	5745	10068
109	5808	10032
110	5858	9974
111	5900	9903
112	5947	9842
113	5990	9773
114	6097	9808
115	6172	9790
116	6237	9755
117	6311	9735
118	6384	9710
119	6429	9644
120	6481	9587
121	6562	9574
122	6635	9548
123	6700	9510
124	6766	9472
125	6834	9437
126	6881	9374
127	6945	9333
128	7017	9302
129	7072	9248
130	7136	9206
131	7180	9138
132	7221	9067
133	7268	9004
134	7307	8931
135	7349	8862
136	7390	8793
137	7441	8736
138	7484	8668
139	7529	8604
140	7584	8552
141	7644	8505
142	7704	8459
143	7762	8409
144	7811	8350
145	7852	8282
146	7892	8214
147	7952	8167
148	7995	8103
149	8042	8042
150	8086	7979
151	8126	7913
152	8194	7872
153	8234	7806
154	8278	7744
155	8321	7681
156	8363	7618
157	8419	7566
158	8462	7504
159	8506	7442
160	8552	7383
161	8598	7324
162	8655	7275
163	8725	7235
164	8797	7198
165	8867	7158
166	8940	7120
167	8987	7061
168	9041	7008
169	9106	6963
170	9162	6912
171	9242	6878
172	9323	6844
173	9413	6816
174	9488	6777
175	9566	6739
176	9619	6684
177	9662	6622
178	9707	6562
179	9750	6500
180	9800	6443
181	9842	6381
182	9883	6318
183	9926	6257
184	9968	6196
185	10017	6140
186	10063	6081
187	10116	6027
188	10176	5976
189	10241	5929
190	10306	5881
191	10354	5824
192	10399	5765
193	10441	5705
194	10486	5646
195	10533	5589
196	10579	5531
197	10622	5472
198	10676	5418
199	10724	5362
200	10770	5304
201	10815	5247
202	10860	5189
203	10909	5133
204	10954	5076
205	10999	5019
206	11045	4962
207	11092	4906
208	11143	4852
209	11191	4796
210	11238	4740
211	11293	4687
212	11342	4632
213	11395	4579
214	11440	4522
215	11485	4466
216	11533	4411
217	11574	4353
218	11630	4301
219	11674	4245
220	11721	4189
221	11767	4134
222	11814	4079
223	11864	4025
224	11908	3969
225	11953	3914
226	11999	3858
227	12045	3803
228	12097	3750
229	12142	3695
230	12183	3639
231	12227	3583
232	12272	3529
233	12332	3478
234	12381	3424
235	12425	3369
236	12467	3314
237	12510	3258
238	12566	3207
239	12610	3152
240	12656	3098
241	12700	3043
242	12743	2989
243	12799	2937
244	12843	2883
245	12887	2828
246	12930	2774
247	12976	2720
248	13032	2669
249	13078	2615
250	13124	2562
251	13168	2508
252	13213	2454
253	13266	2402
254	13315	2349
255	13361	2296
256	13421	2245
257	13466	2192
258	13514	2139
259	13560	2086
260	13605	2033
261	13651	1979
262	13696	1926
263	13747	1874
264	13792	1821
265	13843	1769
266	13888	1716
267	13934	1663
268	13984	1611
269	14030	1558
270	14074	1506
271	14120	1453
272	14164	1400
273	14218	1349
274	14263	1296
275	14307	1244
276	14354	1191
277	14400	1139
278	14470	1089
279	14515	1036
280	14561	984
281	14607	932
282	14653	880
283	14706	828
284	14751	776
285	14796	724
286	14839	672
287	14886	620
288	14940	568
289	14985	516
290	15031	464
291	15078	413
292	15122	361
293	15180	309
294	15232	258
295	15283	206
296	15336	154
297	15385	103
298	15441	51
299	15514	0
